id,nome,acepcao,exemplo,exemploLibras,categoria,representacao,configuracaoMao
154,Lagoa Da Prata,Cidade Mineira localizada na região Centro-Oeste do estado,Lagoa da Prata foi fundada por colonos,FUNDADA POR COLONOS CIDADE LAGOA DA PRATA FOI,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/ToH0Mhzl_pI],[[8a;11;2]]
155,Manhumirim,Cidade Mineira localizada na região da Zona da Mata,Manhumirim é conhecida por seu clima ameno e paisagens montanhosas,CLIMA AMENO TAMBÉM PAISAGENS MONTANHOSAS CIDADE MANHUMIRIM CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/oH1nx5Z956k],[[2;60]]
156,Naque,Cidade Mineira localizada na região do Vale do Rio Doce,Naque é banhada pelo rio Santo Antônio,RIO SANTO ANTÔNIO CIDADE NAQUE BANHAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/bCLH5X859Kc],[[22a;24]]
157,Olhos D'Agua,Cidade Mineira localizada na região do Vale do Rio Doce,Olhos d’Água está localizado na região norte do estado de Minas Gerais,REGIÃO NORTE ESTADO MINAS GERAIS CIDADE OLHOS D´AGUA LOCALIZADA ESTÁ,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/QmBhtPnbJ48],[[12;8a]]
158,Ribeirão Vermelho,Cidade Mineira localizada na região Sul do estado,Ribeirão Vermelho é uma cidade que combina história e natureza,HISTÓRIA TAMBÉM NATUREZA CIDADE RIBEIRÃO VERMELHO COMBINAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/E92QWqxUd0c],[[15;25]]
159,Santos Dumont,Cidade Mineira localizada na região do Campo das Vertentes.,Santos Dumont é a cidade natal do famoso inventor Alberto Santos-Dumont,FAMOSO INVENTOR A-L-B-E-R-T-O S-A-N-T-O-S D-U-M-O-N-T CIDADE SANTOS DUMONT NASCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/DgE77NPU7v8],[[40]]
160,São Tiago,Cidade Mineira localizada na região do Campo das Vertentes.,São Tiago foi incluído pelo Governo de Minas no circuito da Estrada Real,CIRCUITO ESTRADA REAL CIDADE SÃO TIAGO PELO GOVERNO DE MINAS INCLUÍDA FOI,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/wpOwCPYkf0k],[[12]]
161,Timóteo,Cidade Mineira localizada na região do Vale do Aço,Timóteo é uma cidade industrial e moderna em Minas Gerais,MINAS GERAIS CIDADE INDUSTRIAL TAMBÉM MODERNA CIDADE TIMÓTEO É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/tKyRrEBXtBE],[[56;2]]
162,Guarulhos,Cidade Paulista localizada na região Metropolitana de São Paulo,Guarulhos é um importante centro logístico e industrial na Região Metropolitana de São Paulo,REGIÃO METROPOLITANA SÃO PAULO IMPORTANTE CENTRO LOGÍSTICO CIDADE GUARULHO É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/55jMvXv_p0I],[[9]]
163,Santo André,"Cidade Paulista localizada na região do ABC Paulista, próxima à cidade de São Paulo",Santo André faz parte do ABC Paulista,ABC PAULISTA CIDADE SANTO ANDRÉ PARTE FAZER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/B13riJGOSec],[[46b]]
164,Ribeirão Preto,Cidade Paulista localizada na região Norte do estado,Ribeirão Preto é uma cidade reconhecida por sua produção de café e instituições de ensino,PRODUÇÃO CAFÉ TAMBÉM INSTITUIÇÕES DE ENSINO CIDADE RIBEIRÃO PRETO RECONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/2FD5H8cKrUU],[[63]]
165,Sorocaba,Cidade Paulista localizada na região Metropolitana de Sorocaba,Sorocaba é uma cidade localizada no estado de São Paulo,ESTADO DE SÃO PAULO CIDADE SOROCABA LOCALIZADA ESTÁ,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/67ieQgx752o],[[15]]
166,Santos,Cidade Paulista localizada no litoral do estado.,Santos tem o maior porto da América Latina,AMÉRICA LATINA MAIOR PORTO CIDADE SANTOS TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/BjtQLten7s4;https://youtu.be/49gJSz8uisk;https://youtu.be/3QqSk6GM-E8],[[34];[2;62];[62]]
167,Piracicaba,Cidade Paulista localizada na região Central do estado.,Piracicaba é uma cidade que se destaca pela produção agrícola,PRODUÇÃO AGRÍCOLA CIDADE PIRACICABA DESTACAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/3YNYuVvTAmo],[[37a]]
168,Itaquaquecetuba,Cidade Paulista localizada na região Metropolitana de São Paulo,Itaquaquecetuba é uma cidade da Região Metropolitana de São Paulo,REGIÃO METROPOLITANA SÃO PAULO CIDADE ITAQUAQUECETUBA PARTE FAZER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/0HX9MeBYVSM],[[38;18a]]
169,Praia Grande,Cidade Paulista localizada no litoral do estado,Praia Grande é uma cidade litorânea,CIDADE LITORÂNEA CIDADE PARAIA GRANDE É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/vnG9paCO_gg;https://youtu.be/kHW-dU8eE0k],[[11;9];[11]]
170,Limeira,Cidade Paulista localizada na região Central do estado,Limeira é uma cidade industrial conhecida por sua produção de joias e metalurgia,PRODUÇÃO JOIAS TAMBÉM METALURGIA CIDADE LIMEIRA CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/oyfGnrR6Gd8],[[51a;8a]]
171,Sumaré,Cidade Paulista localizada na região Metropolitana de Campinas,Sumaré é uma cidade com um ambiente industrial próspero e qualidade de vida,AMBIENTE INDUSTRIAL PRÓSPERO TAMBÉM QUALIDADE DE VIDA CIDADE SUMARÉ TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/-DYiyXdyWQo],[[2;24]]
172,São Carlos,Cidade Paulista localizada na região Central do estado,"Com o processo de abolição da escravatura, a imigração para São Carlos cresceu",COM PROCESSO ABOLIÇÃO ESCRAVATURA IMAGRAÇÃO CIDADE SÃO CARLOS CRESCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/MV0X0IK59bM;https://youtu.be/fZefyueMuGA],[[2;51a;2];[2;51a]]
173,Americana,Cidade Paulista localizada na região Central do estado,Americana é uma cidade que combina desenvolvimento econômico com a atmosfera de cidade do interior,DESENVOLVIMENTO ECONÔMICO TAMBÉM ATMOSFERA CIDADE INTERIOR CIDADE AMERICA COMBINAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/5aCTOKQXGNA],[[12]]
174,Araraquara,Cidade Paulista localizada na região Central do estado,Araraquara está localizada na Região central do Estado de São Paulo,REGIÃO CENTRAL ESTADO SÃO PAULO CIDADE ARARAQUARA LOCALIZADA ESTÁ,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/Ajk67I2tuzA],[[5]]
175,Hortolandia,Cidade Paulista localizada na região Metropolitana de Campinas,Hortolândia foi fundada em 1991,ANO 1991 CIDADE HORTOLÂNDIA FUNDADA FOI,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/Tip72XP6fb8],[[11]]
176,Ferraz De Vasconcelos,Cidade Paulista localizada na região Metropolitana de São Paulo,Ferraz de Vasconcelos está situada a leste da capital paulista,CAPITAL PAULISTA CIDADE FERRAZ DE VASCONCELOS SITUAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/GywslEjTeS8;https://youtu.be/yt6O9IqTvXw],[[54;21];[54]]
177,Itu,Cidade Paulista localizada na região Metropolitana de Sorocaba,Itu foi fundada em 1610,ANO 1610 CIDADE ITU FUNDADA FOI,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/IjOboAOzE-s],[[40]]
178,Itapetininga,Cidade Paulista localizada na região Metropolitana de Campinas,Itapetininga é famosa pela Festa do Tropeiro,FESTA DO TROPEIRO CIDADE ITAPETINIGA FAMOSA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/H41hXfSnLpg],[[38]]
179,Botucatu,Cidade Paulista localizada na região do Centro-Oeste do estado,Botucatu é uma cidade universitária,UNIVERSIDADES CIDADE BOTUCATU TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/HMGPAP15CUc],[[53b]]
180,Araras,Cidade Paulista localizada na região Central do estado,Araras é uma cidade com uma forte tradição agrícola e comercial,FORTE TRADIÇÃO AGRÍCOLA TAMBÉM COMERCIAL CIDADE ARARAS É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/kkdejOzyiLA],[[14]]
181,Sertãozinho,Cidade Paulista localizada na região Nordeste do estado,"Sertãozinho é conhecida como a ""Capital Nacional da Cana-de-Açúcar""",CAPITAL NACIONAL DA CANA DE AÇUCAR CIDADE SERTÃOZINHA CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/vg0QKw-ALJU],[[2]]
182,Ribeirão Pires,"Cidade Paulista localizada na região do ABC Paulista, próxima à cidade de São Paulo",Ribeirão Pires está situada na região do Grande ABC Paulista,GRANDE ABC PAULISTA CIDADE RIBEIRÃO PIRES SITUAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/K2_DGg0QueQ],[[25;11]]
183,Catanduva,Cidade Paulista localizada na região Norte do estado,Catanduva é uma cidade que prospera na agroindústria e na saúde,AGROINDUSTRIA TAMBÉM SAÚDE CIDADE CATANDUVA PROSPERAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/eSIRr48Wkf4],[[12;51a]]
184,Itatiba,Cidade Paulista localizada na região do Interior Norte do estado,"Itatiba é conhecida como ""Princesa da Colina""",PRINCESA DA COLINA CIDADE ITATIBA CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/8IhgpKtrp6c],[[17]]
185,Ourinhos,Cidade Paulista localizada na região do Centro-Oeste do estado,Ourinhos é conhecida por sua festa de rodeio e sua produção de queijo,FESTA DE RODEIO TAMBÉM PRODUÇÃO DE QUEIJO CIDADE OURINHOS CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/vzIhzZ03aiY],[[35a;42]]
186,Itanhaem,"Cidade Paulista localizada no litoral do estado, próxima à cidade de Santos.",Itanhaém é uma cidade litorânea com praias deslumbrantes e cultura caiçara,PRAIAS DESLUMBRANTES TAMBÉM CULTURA CAIÇARA CIDADE ITANHAÉM TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/nM7AEDiMYAY],[[38]]
187,Caçapava,Cidade Paulista localizada na região do Vale do Paraíba,Caçapava possui fazendas do período colonial.,FAZENDAS DO PERÍODO COLONIAL CIDADE CAÇAPAVA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/Me6c0D8ljVc;https://youtu.be/VAveRRXy-_Q],[[51a;12];[51a]]
188,São Roque,Cidade Paulista localizada na região Metropolitana de São Paulo,São Roque é a 'Terra do Vinho' e é conhecida por suas vinícolas e festivais,TERRA DO VINHO TAMBÉM VINÍCULAS TAMBÉM FESTIVAIS CIDADE SÃO ROQUE CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/LLVjyn2fsV4],[[29a;42]]
189,Arujá,Cidade Paulista localizada na região Metropolitana de São Paulo,Arujá é uma cidade que equilibra urbanização e áreas verdes,EQUILÍBRIO URBANIZAÇÃO TAMBÉM ÁREAS VERDES CIDADE ARUJÁ TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/tXbJfuNkviE;https://youtu.be/bhIHfK1Y8iA],[[47];[47]]
190,Matão,Cidade Paulista localizada na região Central do estado,Matão é conhecida por sua agricultura diversificada,AGRICULTURA DIVERSIFICADA CIDADE MATÃO CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/xiyC1Ek8n8g],[[12;62]]
191,Bebedouro,Cidade Paulista localizada na região Norte do estado,Bebedouro é uma cidade agrícola que se destaca na produção de laranjas,PRODUÇÃO LARANJAS CIDADE BEBEDOURO DESTACAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/xxUR6f-dcX0],[[61]]
192,Pirassununga,Cidade Paulista localizada na região Central do estado,Pirassununga  tem uma forte presença militar,FORTE PRESENÇA MILITAR CIDADE PIRASSUNUNGA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/E8fZDLPqBAM;https://youtu.be/SyNo6WGJavc],[[31;12;62];[31;14;62]]
193,Embu-Guaçu,Cidade Paulista localizada na região Metropolitana de São Paulo,Embu-Guaçu é marcada por sua paisagem de Mata Atlântica,PAISAGEM MATA ATLÂNTICA CIDADE EMBU-GUAÇU MARCADA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/ho3OOjv3VtQ],[[6;9;2]]
194,Peruíbe,"Cidade Paulista localizada no litoral do estado, próxima à cidade de Santos.",Peruíbe é um refúgio litorâneo para aqueles em busca de tranquilidade e natureza,REFÚGIO LITORÂNEO PESSOAS TRANQUILIDADE TAMBÉM NATUREZA CIDADE PERUÍBE É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/fxZaqrhOSZc],[[11]]
195,Nova Odessa,Cidade Paulista localizada na região Metropolitana de Campinas,Nova Odessa é uma cidade industrial e inovadora no interior de São Paulo,INTERIOR DE SÃO PAULO CIDADE INDUSTRIAL TAMBÉM INOVADORA CIDADE NOVA ODESSA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/7YpWLTntlO4],[[27;2]]
196,Monte Mor,Cidade Paulista localizada na região Metropolitana de Campinas,Monte Mor está localizada em uma região de grande atividade agrícola,REGIÃO GRANDE ATIVIDADE AGRÍCOLA CIDADE MONTE MOR LOCALIZAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/0M22khca2VE;https://youtu.be/mKxgIZDR2r8],[[60];[60;25]]
197,Taquaritinga,Cidade Paulista localizada na região Norte do estado,Taquaritinga é uma cidade que valoriza sua cultura e história caipira,CULTURA TAMBÉM HISTÓRIA CAIPIRA CIDADE TAQUARITINGA VALORIZAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/FYvugtRuctk],[[56;1]]
198,Porto Ferreira,Cidade Paulista localizada na região Central do estado,Porto Ferreira é conhecida por sua produção de cerâmica e louças de alta qualidade,PRODUÇÃO DE CERÂMICA TAMBÉM LOUÇAS ALTA QUALIDADE CIDADE PORTO FERREIRA CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/0XeQIgpgMQw],[[11;54;2]]
199,São José Do Rio Pardo,Cidade Paulista localizada na região Central do estado,São José do Rio Pardo tem arquitetura colonial bem preservada,ARQUITERURA COLONIAL BEM PRESERVADA CIDADE SÃO JOSÉ DO RIO PARDO TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/cBC4zxJe8vw],[[11;2]]
200,Porto Feliz,Cidade Paulista localizada na região Metropolitana de Sorocaba,Porto Feliz é uma cidade que harmoniza sua herança histórica,HERANÇA HISTÓRICA CIDADE PORTO FELIZ HARMONIZAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/YD9Ozg5k7hY],[[11;54]]
201,Monte Alto,Cidade Paulista localizada na região Norte do estado.,Monte Alto é uma cidade que prospera com sua economia agrícola e comercial,ECONOMIA AGRÍCOLA TAMBÉM COMERCIAL CIDADE MONTE ALTO PROSPERAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/GafOKMTOD7E],[[60;12]]
202,Pedreira,Cidade Paulista localizada na região Metropolitana de Campinas,Pedreira é famosa por sua indústria de cerâmica,INDÚTRIA CERÂMICA CIDADE PEDREIRA FAMA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/B2i0mT2pykg],[[11;2]]
203,Salto De Pirapora,Cidade Paulista localizada na região Metropolitana de Sorocaba,Salto de Pirapora é uma cidade com belas paisagens naturais,BELAS PAISAGENS NATURAIS CIDADE SALTO DO PIRAPORA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/F1cXuXw3ytE],[[2;11]]
204,Guariba,Cidade Paulista localizada na região Norte do estado,Guariba é uma cidade que valoriza sua produção de café e seu ambiente rural,PRODUÇÃO CAFÉ TAMBÉM AMBIENTE RUAL CIDADE GUARIBA PRESERVAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/C3vqCtQ6F6A],[[53a]]
205,José Bonifácio,Cidade Paulista localizada na região Norte do estado,José Bonifácio tem uma herança agrícola forte,HERANÇA AGRÍCOLA FORTE CIDADE JOSÉ BONIFÁCIO TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/pbhX8OtPrjo],[[38;61]]
206,São Pedro,Cidade Paulista localizada na região do Interior Norte do estado,São Pedro é conhecida por suas festas tradicionais e suas belezas naturais,FESTAS TRADICIONAIS TAMBÉM BELEZAS NATURAIS CIDADE SÃO PEDRO CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/8pTSJlpzAgY],[[2;11]]
207,Barrinha,Cidade Paulista localizada na região Norte do estado,Barrinha é uma cidade que se destaca em sua produção agrícola e agroindustrial,PRODUÇÃO AGRÍCOLA TAMBÉM AGROINDUSTRIAL CIDADE BARRINHA DESTACAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/8O7dsSVQeU4],[[22a]]
208,Cajati,Cidade Paulista localizada na região Norte do estado,Cajati está situada em uma região com grande biodiversidade,REGIÃO COM GRANDE BIODIVERSIDADE CIDADE CAJATI SITUAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/rxRHXm33y_g],[[51a]]
209,Santa Gertrudes,Cidade Paulista localizada na região Central do estado,Santa Gertrudes é um centro cerâmico importante e preserva sua tradição na produção de cerâmica,CENTRO CERÂMICO IMPORTANTE TRADIÇÃO PRODUÇÃO CERÂMICA CIDADE SANTA GERTRUDES PRESERVAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/URxcL9q077Y],[[2;9]]
210,Monte Aprazível,Cidade Paulista localizada na região Norte  do estado,Monte Aprazível é uma cidade que celebra sua produção de frutas cítricas,PRODUÇÃO FRUTAS CÍTRICAS CIDADE MONTE APRAZÍVEL CELEBRAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/EbyjoTdfZhw],[[12]]
211,Apiaí,Cidade Paulista localizada na região do Vale do Ribeira,Apiaí é conhecida por suas grutas e cavernas,GRUTAS TAMBÉM CAVERNAS CIDADE APIAÍ CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/GibCc5rI15Q],[[1]]
212,Santo Antonio De Posse,Cidade Paulista localizada na região do Interior Norte do estado,Santo Antônio de Posse é uma cidade que cresce rapidamente na Região Metropolitana de Campinas,REGIÃO METROPOLITANA CAMPINAS CIDADE SANTO ANTÔNIO DE POSSE RÁPIDO CRESCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/LRaRdWAzRic],[[1;11]]
213,Além Paraiba,Cidade Mineira localizada na região da Zona da Mata,Além Paraíba é uma cidade histórica às margens do Rio Paraíba do Sul,MARGENS DO RIO PARAÍBA DO SUL CIDADE HISTÓRICA NOME ALÉM PARAÍBA LOCALIZAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/ohAzb2Qa934],[[1;11]]
214,Arcos,Cidade Mineira localizada na região Centro-Oeste do estado,Arcos é famosa por suas formações rochosas e cânions,FORMAÇÕES ROCHOSAS TAMBÉM CÂNIONS CIDADE ARCOS FAMA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/GjWAYf7OuRQ],[[32]]
215,Belo Oriente,Cidade Mineira localizada na região do Vale do Rio Doce,Belo Oriente é uma cidade que se destaca na indústria de mineração,INDÚSTRIA DE MINERAÇÃO CIDADE BELO ORIENTE DESTACAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/uAnaCY_0gjc],[[61;42]]
216,Caete,Cidade Mineira localizada na região Metropolitana de Belo Horizonte,Caeté é uma cidade com uma rica herança histórica e cultural,RICA HERANÇA HISTÓRICA TAMBÉM CULTURAL CIDADE CAETÉ TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/uKefvmH9e4g],[[50]]
217,Coração De Jesus,Cidade Mineira localizada na região Norte do estado,"Coração de Jesus é conhecida como ""Terra do Queijo""",TERRA DO QUEIJO CIDADE CORAÇÃO DE JESUS CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/cHFz7h2PwKI],[[51a;35a]]
218,Grão Mogol,Cidade Mineira localizada na região Norte do estado,Grão Mogol é uma cidade que celebra sua cultura e história sertaneja,CULTURA TAMBÉM HISTÓRIA SERTANEJA CIDADE GRÃO MONGOL CELEBRAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/wrF34H_VxYw],[[9;60]]
219,Ipamena,Cidade Mineira localizada na região do Vale do Aço,"O turismo rural também se faz presente em Ipanema, com fazendas, trilhas e cachoeiras e propriedades rurais",FAZENDAS TAMBÉM TRILHAS TAMBÉM CACHOEIRAS TAMBÉM PROPRIEDADES RURAIS TURISMO RUAL CIDADE IPANEMA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/1dROjzy7lY0],[[38]]
220,Januária,Cidade Mineira localizada na região Norte do estado,Januária é banhada pelo Rio São Francisco,RIO SÃO FRANCISCO CIDADE JANUÁRIA BANHAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/wGytw8mZ62Q],[[38;47]]
221,Manhuaçu,Cidade Mineira localizada na região da Zona da Mata,Manhuaçu é uma cidade cercada por belas montanhas e produz café de alta qualidade,BELAS MONTANHAS TAMBÉM PRODUÇÃO CADÉ ALTA QUALIDADE CIDADE MANHUAÇU TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/Zx5ug9ocr8Y],[[60]]
222,Muriaé,Cidade Mineira localizada na região da Zona da Mata,"Muriaé é uma cidade que combina indústria têxtil, natureza exuberante e patrimônio cultural",INDÚSTRIA TÊSTIL TAMBÉM NATUREZA EXUBERANTE TAMBÉM PATRIMÔNIO CULTURAL CIDADE MURIAÉ COMBINAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/LTujTu1ZcUo],[[60;47]]
223,Nova Serrana,Cidade Mineira localizada na região Centro-Oeste do estado,Nova Serrana é um polo industrial na produção de calçados,POLO INDUSTRIAL PRODUÇÃO CALÇADOS CIDADE NOVA SERRANA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/Nbjuov7_9Oc],[[64;12]]
224,Raul Soares,Cidade Mineira localizada na região da Zona da Mata,Raul Soares é uma cidade que preserva suas tradições rurais e culturais,TRADIÇÕES RUAIS TAMBÉM CULTURAIS CIDADE RAUL SOARES PRESERVAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/TaDGSkLICsY],[[40]]
225,Santana Do Paraiso,Cidade Mineira localizada na região do Vale do Aço,Santana do Paraíso é uma cidade em crescimento na Região do Vale do Aço,REGIÃO VALE DO AÇO CIDADE SANTANA DO PARARAÍSO CRESCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/yrXS0qcy9FI],[[2;64]]
226,São Pedro Dos Ferros,Cidade Mineira localizada na região da Zona da Mata,São Pedro dos Ferros atraem visitantes em busca de ecoturismo,VISITANTES  ECOTURISMO CIDADE SÃO PEDRO DOS FERROS ATRAIR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/u86XZ7iO650],[[1]]
227,Três Pontas,Cidade Mineira localizada na região Sul do estado,"Três Pontas é uma cidade no sul de Minas Gerais, conhecida por sua música e café de alta qualidade",MINAS GERAIS MÚSICA TAMBÉM CAFÉ ALTA QUALIDADE CIDADE TRÊS PONTAS CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/wEGCjO3Fba0],[[59a;11]]
